Name;Email;Phone;Address;City;Registration Date;Total Spent;Country
Isabella Karlsson;isabella-karlsson @ company.co;(+49)023290282;32 Highway;Berlin;14/02/2023;"€ 1;754.63";Germany
Nils Karlsson;karlsson_nils@yahoo.com;70267288 +49;129 Highway;MUNICH.; 20.06.2023 ;"7;448.49 USD";Germany
Erik Olsson;olsson_erik@outlook.com;(+27)7303379;170 King St;Cape Town; 2022-10-31 ;309.88 $;South Africa
Oscar Svensson;oscarsvensson@bizmail.net;+12871539;196 Park Ave;New York;01/18/22;USD 885.93;USA
Alma Karlsson;alma-karlsson@company.co;6032484 +33;112 Elm Street;Lyon ;08/17/23;1 656.74;France
Alma Nilsson;nilsson_alma@company.co;+39 555746966;210 Oak Road;Milan;21.05.2025;"6;623;93 USD";Italy
Hugo Andersson;andersson_hugo@outlook.com;+463878294565;23 King St;Stockholm;2021-05-08;"SEK 8;364.63";Sweden
Noah Karlsson;noah.karlsson@outlook.com;+1 051-4054;201 Park Ave;New York;"Dec 14; 2024";"$ 8;076.87";USA
Klara Jones;klara.jones @ hotmail.com;+1 85691463;60 Elm Street;NEW YORK; 2021-10-12 ;"1;380.75 $";USA
Ethan Olsson;ethan.olsson@gmail.com;+414132834831;19 Baker St;Geneva;2023-08-05;"5;886.52";Switzerland
Isabella Andersson;andersson_isabella@outlook.com;(+33)70589578;159 Elm Street;Lyon;" May 31; 2025 ";"9;724.07 $";France
Emma Johansson;emmajohansson@yahoo.com;001 622-6838851;10 Elm Street;Los Angeles;10.10.2024;"1;160.58";USA
Klara Johansson;klara-johansson@yahoo.com;+665654527;222 Main St;Chiang-Mai;"Dec 12; 2023";"EUR 1;231;09";Thailand
Alma Pettersson;pettersson_alma@outlook.com;7548581932 +81;224 Highway;Tokyo;28.03.2023;EUR 262.70;Japan
Astrid Gustafsson;astrid.gustafsson@yahoo.com;+467079334960;222 Elm Street;Stockholm;2022-06-05;"SEK 4;866.15";Sweden
Emma Williams;emma.williams@bizmail.net;+39 78742967;165 Park Ave;milan;05-Jul-24;"5;505.47 EUR";Italy
Leo Olsson;leoolsson@hotmail.com;+81 1584156082;57 Main St;Tokyo;"Mar 30; 2023";838.84 SEK;Japan
Leo Olsson;leoolsson@hotmail.com;+81 1584156082;57 Main St;Tokyo;"Mar 30; 2023";838.84 SEK;Japan
Klara Svensson;svensson_klara@yahoo.com;+668788443;88 Baker St;bangkok;09/05/2022;"€ 7;908;31";Thailand
Ella Larsson;ella-larsson@gmail.com;+1-4432701;214 Elm Street;Los Angeles;18.06.2023;"SEK 1;336.77";USA
Isabella Persson;persson_isabella@yahoo.com;9232260256 +46;137 Baker St;Göteborg;16/01/2022;"4;608;43";Sweden
Klara Olsson;klara-olsson@company.co;(001)7175355609;284 Highway;Los Angeles;"Dec 04; 2022";"4;998.02 USD";USA
Ava Karlsson;KARLSSON_AVA@COMPANY.CO;+55 821-759464;197 King St;Sao Paulo; 09/19/24 ;"8;302.08";Brazil
Mia Nilsson;MIA-NILSSON@HOTMAIL.COM;+555867342;158 Main St;Sao  Paulo;06.02.2021;"6;719.27 USD";Brazil
Hugo Gustafsson;gustafsson_hugo@yahoo.com;+39-8610313100;52 Oak Road;Rome;13/05/2021;"8;796;48";Italy
Mia Johnson;johnson_mia@outlook.com;+4156394278;6 Park Ave;Geneva;"Jan 15; 2025";"SEK 1;600.63";Switzerland
Lucas Andersson;lucasandersson@bizmail.net;+490401041;195 Oak Road;Berlin;02/08/2022;"EUR 8;879;11";Germany
Noah Brown;noah.brown@company.co;+27-695489952;255 Elm Street;Cape Town;2021-11-18;"€ 4;654.21";South Africa
Erik Jones;erik.jones@outlook.com;+81-5807412094;44 Baker St;Tokyo;21/09/2023;"$ 5;031.36";Japan
Liam Persson;liam-persson@outlook.com;+275890429;70 Oak Road;cape town;2022-10-17;"5;300.83";South Africa
Ethan Persson;ethan-persson@gmail.com;+46-45587716;75 King St;stockholm;01-Jan-24;722.73;Sweden
Nils Pettersson;pettersson_nils@hotmail..com;(+55)158331170;198 Baker St;Rio de Janeiro;09/05/23;"€ 3;125;14";Brazil
Elin Olsson;elin-olsson@company..co;+55 52373605;51 King St;Sao Paulo;08.01.2024;"3;947.91 SEK";Brazil
Liam Pettersson;LIAMPETTERSSON@HOTMAIL.COM;+816317797177;10 Main St;TOKYO;"Mar 27; 2025";"6;379.01";Japan
Liam Pettersson;pettersson_liam@outlook.com;3397401 +66;289 Park Ave;chiang mai;02/02/2024;"7;129;99 EUR";Thailand
Nils Persson;persson_nils@yahoo.com;+81-4268181;263 Oak Road;Osaka;"Nov 29; 2022";"EUR 2;440.30";Japan
Nils Brown;nils.brown@hotmail.com;(+49)679970246;206 Main St;Munich.; 04/21/22 ;"8;175.69 USD";Germany
Hugo Jones;hugojones@bizmail.net;+55 727-2239;145 Main St;Sao Paulo;2021-11-06;"4;269.69";Brazil
Leo Williams;leowilliams@hotmail.com;44617679 +33;260 King St;Lyon;01/20/24;"8;300.56";France
Isabella Smith;smith_isabella@gmail.com;(+33)9358895;77 Elm Street;Lyon;"Jan 20; 2022";"EUR 5;748.65";France
Sophia Olsson;sophia-olsson@outlook.com;216674676 +81;68 Park Ave;Osaka;09-Feb-24;"6;787.15 €";Japan
Ella Johnson;ELLA-JOHNSON@HOTMAIL.COM;8325381 +49;298 King St;Munich;10/10/22;"4;235.06 $";Germany
Ethan Johansson;ethanjohansson@bizmail.net;+498141413975;52 Oak Road;Munich;02.04.2024;"5;845.86 SEK";Germany
Alma Andersson;ALMA-ANDERSSON@GMAIL.COM;+33-18751097;287 Baker St;PARIS;30-Aug-25;"3;064.45 SEK";France
Isabella Pettersson;isabella-pettersson @ gmail.com;+66-80657875;93 Main St;Chiang Mai;14-Feb-21;"7;670.75";Thailand
Noah Gustafsson;gustafsson_noah@company.co;+168499515;250 Elm Street;Los Angeles;2024-03-12;"6;667.67";USA
Olivia Andersson;andersson_olivia@hotmail.com;+41189520284;84 Main St;Geneva;"Dec 06; 2023";"SEK 9;525.43";Switzerland
Liam Pettersson;pettersson_liam@company.co;(+46)5676618251;66 Park Ave;Göteborg;24.05.2023;"4;247.04";Sweden
SOPHIA SVENSSON;sophiasvensson@gmail.com;+66 173-42069;189 Baker St;Bangkok;05.05.2023;"2;252.59 €";Thailand
Liam Jones;liamjones@company.co;+27 239-5041027;273 Baker St;Johannesburg; 04-Sep-25 ;"EUR 9;272.95";South Africa
Klara Brown;klarabrown@outlook.com;(+55)791452118;128 Main St;sao paulo; 22/12/2023 ;"USD 4;939.24";Brazil
Liam Persson;LIAM.PERSSON@COMPANY.CO;(+49)405153195;90 King St;Berlin; 06/05/2025 ;"7;764.14 EUR";Germany
Sophia Svensson;sophia-svensson@gmail..com;8513854457 +1;300 Baker St;New York;01/03/25;"EUR 4;912;66";USA
Ethan Larsson;larsson_ethan@bizmail.net;+273721386;27 Baker St;Cape Town;"Jun 10; 2023";650.16;South Africa
Klara Andersson;KLARA-ANDERSSON@OUTLOOK.COM;+33 42253584;283 Oak Road;paris;"Sep 28; 2021";"1;550.40 SEK";France
Mia Johansson;johansson_mia@bizmail..net;+662050614973;150 Main St;Chiang Mai; 07/02/24 ;"5;445.82 €";Thailand
Noah Williams;noah.williams@gmail.com;+125012495;124 Highway;LOS ANGELES ;22/10/2024;"$ 1;726;02";USA
Elin Eriksson;elineriksson@yahoo.com;(+81)1896164;205 Main St;tokyo;04.06.2024;"USD 2;992.48";Japan
Hugo Brown;hugo-brown@yahoo.com;+276769915078;7 Highway;Johannesburg;03.07.2021;"3;560;36 EUR";South Africa
Astrid Karlsson;astrid-karlsson@yahoo.com;+27-8996986091;51 Highway;cape town;"Oct 09; 2024";"USD 3;943.51";South Africa
NILS PERSSON;persson_nils@yahoo.com;+81-4268181;263 Oak Road;Osaka;"Nov 29; 2022";"EUR 2;440.30";Japan
Leo Johnson;leo-johnson@bizmail.net;+27 353-537513;186 Main St;Johannesburg;10/03/2024;"€ 4;194.31";South Africa
Mia Brown;mia-brown@outlook..com;11907903+46;277 Baker St;Göteborg;"Nov 24; 2024";"5;983.20 USD";Sweden
Astrid Olsson;ASTRID-OLSSON@HOTMAIL.COM;(+49)79103368;108 Baker St;Munich.;2023-08-12;"6;492.63 EUR";Germany
Hugo Olsson;hugo.olsson@gmail.com;+55-2278469;163 Oak Road;Rio de Janeiro;27.03.2023;"3;449.20";Brazil
Sophia Johnson;SOPHIA-JOHNSON@GMAIL.COM;+27 334817058;211 Elm Street;johannesburg;07-Mar-21;"8;658.34 €";South Africa
Ella Svensson;SVENSSON_ELLA@BIZMAIL.NET;+55-6923645;189 Park Ave;rio de janeiro;2023-06-23;"3;620.53 $";Brazil
Noah Johansson;noah.johansson@bizmail.net;+55 647-0900;192 Baker St;SAO-PAULO;15.11.2021;"€ 2;213;47";Brazil
Emma Karlsson;emma.karlsson@outlook.com;(+1)97585988;23 Baker St;los angeles;"Jul 19; 2021";€ 5 921.91;USA
Hugo Smith;hugo.smith@company.co;859592248 +1;191 Highway;Los Angeles;25.12.2024;SEK 9 279.14;USA
Oscar Larsson;oscar-larsson@gmail.com;+66-6139449;26 Oak Road;Chiang Mai;28/08/2024;"6;717.68";Thailand
Olivia Olsson;olivia.olsson@yahoo.com;0384576 +55;181 Oak Road;Rio de Janeiro;2025-05-07;"8;787.99 $";Brazil
Emma Gustafsson;emma-gustafsson@bizmail.net;+49-0469472587;136 King St;Munich;21-Apr-24;"7;568.56";Germany
Noah Eriksson;eriksson_noah @ bizmail..net;+497889255466;172 Main St;Munich;28.07.2025;"6;030.98";Germany
Elin Larsson;larsson_elin@bizmail.net;+66-90458867;80 Highway;Bangkok;08.07.2023;"5;257;12 €";Thailand
Erik Johnson;erik-johnson@bizmail..net;+814985172;254 Baker St;Osaka;2022-02-06;"EUR 1;850.71";Japan
Lucas Nilsson;nilsson_lucas @ bizmail.net;+39-04699013;246 Baker St;Rome ;2024-12-14;"SEK 7;545.76";Italy
Ethan Andersson;ethan-andersson @ gmail.com;165162319 +46;298 King St;Göteborg;06/25/21;"5;847.42 EUR";Sweden
Oscar Nilsson;nilsson_oscar@yahoo.com;+39-5107991183;36 Baker St;Rome;23.03.2024;"USD 6;681;95";Italy
Olivia Persson;olivia-persson@outlook.com;+812513412;215 Highway;osaka;07.09.2024;"1;740;62 €";Japan
Oscar Larsson;oscar.larsson@bizmail.net;2620672 +46;20 Main St;Göteborg;06.05.2023;"4;944.19 €";Sweden
Erik Svensson;ERIK-SVENSSON@YAHOO.COM;57771183 +81;143 King St;tokyo;"Jun 29; 2021";"1;692.85";Japan
Elin Karlsson;karlsson_elin@company.co;085887704 +46;50 Baker St;Göteborg;23.12.2021;"2;139.62";Sweden
Ethan Gustafsson;ethan.gustafsson @ yahoo.com;(+39)4973502080;65 Park Ave;ROME;18-Sep-22;"EUR 7;996.63";Italy
Nils Larsson;nilslarsson@company.co;+2783206038;5 Oak Road;johannesburg;18/05/2021;2 389.29;South Africa
Ethan Jones;ethan-jones@hotmail.com;(+81)6032020;293 Elm Street;Tokyo;13-Jan-24;"USD 2;156.21";Japan
Nils Gustafsson;nils-gustafsson@bizmail.net;+333128196482;224 Main St;Paris;"Mar 28; 2021";"EUR 7;425.97";France
Isabella Johansson;isabella-johansson@yahoo.com;5245086403 +33;277 Main St;Paris;30/10/2024;3 821.04 USD;France
Olivia Eriksson;oliviaeriksson@company.co;+1 145-933272;213 Park Ave;Los Angeles;08/01/2022;"5;962.19 $";USA
Leo Gustafsson;leo-gustafsson@gmail..com;+33 982-824674;247 Main St;Paris;2020-10-26;"7;306.38 USD";France
Lucas Karlsson;lucaskarlsson@outlook.com;+14041209117;135 Baker St;los angeles;2022-12-27;"EUR 229;35";USA
Isabella Eriksson;isabellaeriksson@bizmail..net;5423567782 +66;293 Elm Street;Chiang Mai;06.11.2024;"1;454.73";Thailand
Alma Johansson;alma-johansson @ bizmail.net;133053194 +46;216 Park Ave;Stockholm;09/20/22;"EUR 8;228.06";Sweden
Noah Olsson;NOAH-OLSSON@OUTLOOK.COM;+1 505-415667;255 Oak Road;Los Angeles;28-Mar-21;"8;225;19 SEK";USA
Ethan Andersson;ethanandersson@bizmail.net;5648149+81;185 Main St;Osaka;"May 16; 2021";1 162.18;Japan
Klara Pettersson;KLARA-PETTERSSON@HOTMAIL..COM;+399721811;152 Oak Road;ROME.;25.10.2022;"7;388.02";Italy
Emma Pettersson;pettersson_emma@gmail.com;+4956588043;176 Main St;Munich;01/05/24;"EUR 7;464;10";Germany
Oscar Johansson;johansson_oscar@hotmail.com;+55 4170805310;11 Highway;sao paulo;07-Jan-22;"SEK 7;671.31";Brazil
Ava Nilsson;ava-nilsson@yahoo.com;776863423 +1;202 Main St;New York;04-Nov-24;"4;467.12 SEK";USA
Ethan Gustafsson;ethan-gustafsson@bizmail.net;(0033)4870494787;135 Oak Road;Lyon;30-May-22;"9;068.86";France
Noah Larsson;noah larsson @ hotmail.com;+66-0339937;59 Oak Road;bangkok;30.01.2023;"SEK 8;862.70";Thailand
Ava Johnson;avajohnson@hotmail.com;+46-204380571;115 Park Ave;Göteborg;09/12/24;479.33 EUR;Sweden
Ella Olsson;ella.olsson@bizmail.net;+819038021;38 Baker St;Osaka;18-Oct-23;"1;810;93 $";Japan
Astrid Johnson;astrid.johnson@yahoo.com;+27 6117240;184 Oak Road;Johannesburg;21/10/2021;"SEK 6;098.82";South Africa
Leo Jones;jones_leo@company.co;+81 406-4930853;128 Baker St;Osaka;29-Mar-21;"5;170.93 SEK";Japan
Leo Pettersson;leopettersson@company.co;+816383615171;148 Highway;OSAKA;"May 11; 2023";"€ 6;873.60";Japan
Elin Olsson;elin-olsson@outlook.com;(+55)4348734714;277 Main St;sao paulo;26-Feb-21;"5;430.69";Brazil
Noah Pettersson;noah-pettersson@yahoo..com;+81-3536541951;115 King St;OSAKA;08/26/25;"3;113;87 $";Japan
Olivia Nilsson;olivia-nilsson@bizmail.net;0523302764 +27;12 Highway;Cape Town; 28-Dec-22 ;"€ 7;270.28";South Africa
Elin Williams;elin-williams@company.co;+81 4932898027;281 King St;Osaka;30/10/2023;1 712.63 $;Japan
Ethan Olsson;ethan.olsson@outlook.com;0081 0771199;54 Baker St;Osaka;08.06.2022;"€ 5;063.91";Japan
Leo Persson;leo-persson@yahoo.com;(+55)7496903337;194 Highway;rio de janeiro ;14-Jun-22;"EUR 2;309.47";Brazil
Hugo Larsson;HUGOLARSSON @ COMPANY.CO;+46-4622522372;109 Baker St;Stockholm;07-Sep-25;"9;130.58";Sweden
Liam Olsson;olsson_liam@hotmail.com;+33-5061853;19 Park Ave;Lyon;11.01.2022;"€ 4;706.45";France
Emma Karlsson;karlsson_emma@bizmail.net;+15743748969;192 Highway;New York;02/25/21;"USD 6;409.54";USA
Oscar Pettersson;oscar-pettersson@bizmail..net;+33 096105566;6 Park Ave;"Lyon;";18/12/2023;"$ 6;980.71";France
Ava Jones;avajones @ gmail.com;+41 784-8728299;289 Elm Street;Zurich;28/10/2023;4 424 18 USD;Switzerland
Astrid Eriksson;eriksson_astrid @ yahoo.com;8010062 +33;5 Baker St;Lyon;02-Apr-24;"167;16 SEK";France
Alma Williams;alma-williams@outlook.com;(+66)1845146;135 Highway;Bangkok;"May 18; 2024";"SEK 1;536.86";Thailand
Klara Olsson;olsson_klara@bizmail.net;+41973348434;251 Oak Road;Geneva;2022-05-30;"5;436.48";Switzerland
Alma Johansson;johansson_alma@hotmail.com;+278496498;166 Elm Street;Cape  Town;08/11/21;"3;192.71";South Africa
Sophia Williams;sophia.williams@company.co;(+1)639855474;108 Elm Street;Los Angeles;"Oct 22; 2020";"EUR 9;015.44";USA
Emma Williams;williams_emma@bizmail.net;+467844736;81 Elm Street;Göteborg;17.08.2025;"9;880.35";Sweden
Ella Nilsson;ella-nilsson @ outlook..com;(+46)959310341;233 Park Ave;Göteborg;24.09.2024;"SEK 6;095.22";Sweden
Ethan Pettersson;ethan-pettersson@bizmail.net;+554737996;94 Elm Street;Sao Paulo;09/23/24;"5;171.11";Brazil
Liam Andersson;liam.andersson@company.co;+66 1898131292;63 Main St;bangkok; 2025-07-27 ;"USD 1;255;92";Thailand
Hugo Nilsson;nilsson_hugo@outlook.com;(+33)991537038;254 Baker St;Paris;05/06/2024;"2;974.96 $";France
Emma Larsson;EMMALARSSON@YAHOO.COM;+39 775847457;171 Highway;Milan;06/05/21;"7;284.87 $";Italy
Astrid Karlsson;astridkarlsson@company.co;14658404 +55;251 King St;sao paulo;04-Nov-23;"€ 3;224.56";Brazil
Erik Johnson;erik.johnson@outlook.com;(+49)1379956;118 King St;munich;01-Dec-21;744.56;Germany
Liam Smith;smith_liam@yahoo.com;7726257 +55;37 Elm Street;Rio_de_Janeiro;"Sep 16; 2024";7 946.84 $;Brazil
Olivia Larsson;olivialarsson@hotmail.com;+49-3750606;42 Oak Road;Berlin;26/03/2025;"€ 2;875.93";Germany
Lucas Williams;lucas-williams@hotmail.com;+1 8063565;130 Oak Road;Los Angeles;11-Aug-24;"4;138.15";USA
Erik Gustafsson;gustafsson_erik@company.co;41514888+66;117 Main St;chiang mai;07/31/24;"€ 7;454.66";Thailand
Astrid Williams;astrid.williams@bizmail.net;+3998338167;218 Baker St;Rome;12/04/21;"4;816;90 USD";Italy
Ethan Nilsson;ethannilsson@company.co;+66-83143598;162 King St;BANGKOK ;2023-10-11;"4;073.74 USD";Thailand
Klara Karlsson;karlsson_klara@outlook.com;+55 1208780572;142 Highway;Sao  Paulo;29/09/2024;"USD 2;159.89";Brazil
Hugo Jones;hugo-jones@outlook.com;+49 639-26495;71 Highway;Berlin;"Oct 01; 2024";"4;306.34";Germany
Hugo Olsson;hugoolsson@bizmail.net;+66-1631599;16 Park Ave;Bangkok;25-Nov-22;"$ 5;862.89";Thailand
Nils Jones;nilsjones@yahoo.com;2851553 +39;218 Oak Road;Rome.; 27-Jun-21 ;"8;676.65";Italy
Mia Eriksson;eriksson_mia@hotmail.com;1175186 +49;82 Elm Street;BERLIN;06.09.2025;"€ 1;629;62";Germany
Oscar Andersson;andersson_oscar@hotmail.com;+492463351;132 Main St;MUNICH; 01/05/2021 ;9 851.44 $;Germany
Ava Karlsson;ava.karlsson@gmail.com;+1-1284971;145 Highway;NEW_YORK;24/12/2022;"SEK 7;415.56";USA
Ella Karlsson;ella.karlsson@gmail.com;0027-7058650;37 King St;"Johannesburg;";"Feb 03; 2022";"SEK 1;939.26";South Africa
Erik Nilsson;ERIK-NILSSON@OUTLOOK.COM;+412324665136;132 Park Ave;Geneva.;26-May-23;4 366.97;Switzerland
Mia Jones;mia.jones@outlook.com;+66335670860;180 Park Ave;"Chiang-Mai;";12/21/24;"4;725;86 SEK";Thailand
Ella Larsson;ella.larsson@company.co;+49982474140;64 Main St;MUNICH;01/28/21;"8;788.43";Germany
Lucas Johnson;johnson_lucas@gmail.com;+1 9351187;167 Highway;New York;09/15/25;"3;272.14 USD";USA
Leo Karlsson;karlsson_leo @ hotmail.com;68705685 +66;193 Baker St;Chiang Mai;06/10/2024;"9;148.26 SEK";Thailand
Ella Gustafsson;GUSTAFSSON_ELLA @ YAHOO.COM;+55 896-08706;219 Highway;rio de janeiro;11/10/22;4 370 88;Brazil
KLARA OLSSON;olsson_klara@bizmail net;+41973348434;251 Oak Road;Geneva;2022-05-30;"5;436.48";Switzerland
Klara Eriksson;klara-eriksson@yahoo.com;(+66)1539669583;294 King St;Bangkok;28-May-25;"9;559.28";Thailand
Alma Eriksson;alma-eriksson@bizmail.net;9379660 +39;33 Highway;milan;2023-05-13;"USD 8;627.74";Italy
Mia Svensson;mia.svensson@yahoo.com;+277756620;56 Main St;johannesburg.;"Sep 16; 2021";"2;126.98";South Africa
Elin Johansson;johansson_elin@yahoo.com;+66-830945154;18 Park Ave;Bangkok; 02.05.2022 ;"EUR 5;726.09";Thailand
Oscar Johnson;johnson_oscar@company..co;+27-832818268;110 Park Ave;Johannesburg;09-Oct-23;"$ 8;238.65";South Africa
Leo Olsson;leoolsson@hotmail.com;0320320742 +66;254 Main St;Chiang Mai;05.06.2021;"1;245;31 $";Thailand
Liam Karlsson;liamkarlsson@bizmail..net;(+1)242956334;226 Oak Road;los angeles;24-Sep-23;"$ 6;873.53";USA
Sophia Gustafsson;gustafsson_sophia@hotmail..com;+33 2268171516;260 Elm Street;PARIS;2023-03-02;"2;593.90 $";France
Noah Larsson;noah-larsson@outlook.com;+49 179-9313;206 Oak Road;munich;30/03/2025;"5;934.92";Germany
Mia Williams;miawilliams@gmail.com;+27-2896599;243 Baker St;"cape town;";14/08/2021;"8;747;39";South Africa
Mia Svensson;mia.svensson@gmail.com;+27 231-7955;260 Oak Road;Cape Town.;20-Apr-25;"8;576.36 USD";South Africa
Elin Jones;elin-jones@yahoo.com;+4920616329;35 Main St;Munich;2023-05-14;"6;234.35";Germany
Oscar Larsson;oscar-larsson@gmail.com;+66-6139449;26 Oak Road;Chiang Mai;28/08/2024;"6;717.68";Thailand
Ella Svensson;ella-svensson@gmail.com;+333691559;138 Elm Street;Lyon;23.02.2023;"3;657;13 EUR";France
Noah Johansson;NOAH.JOHANSSON@BIZMAIL.NET;+27 921-2447174;166 Oak Road;JOHANNESBURG;2022-08-30;"8;129.88";South Africa
Klara Johnson;klara-johnson@hotmail com;(+39)95590599;253 Highway;Milan;"Nov 27; 2020";"3;324.02";Italy
Hugo Larsson;hugolarsson@company.co;+46 805-5269;242 King St;göteborg ;22-Mar-25;6 289.42 SEK;Sweden
OSCAR GUSTAFSSON;oscargustafsson@outlook..com;(+33)59848840;161 King St;Paris;06-Aug-22;"3;628.42 €";France
Nils Olsson;nilsolsson @ company.co;+81 905814770;47 Highway;Tokyo;2024-12-09;"USD 8;100.06";Japan
Isabella Gustafsson;gustafsson_isabella@yahoo.com;+55 156277963;210 Main St;Sao Paulo;01-May-25;"2;614.39 $";Brazil
Ethan Karlsson;ethan.karlsson@yahoo.com;(+81)3953767;288 Highway;Tokyo;10/01/2022;918.19;Japan
Isabella Larsson;isabella.larsson@yahoo.com;+46 325122572;11 Baker St;Stockholm;"Nov 06; 2020";4 743.56;Sweden
Lucas Williams;williams_lucas@outlook.com;+66 9665533;141 Elm Street;bangkok;" Feb 14; 2022 ";188.18 SEK;Thailand
Ethan Larsson;ETHAN-LARSSON @ YAHOO.COM;+46 984-54615;116 Oak Road;Stockholm; 2025-01-20 ;"3;798.85";Sweden
Ella Brown;ellabrown@company.co;+41 413432756;252 Elm Street;Geneva;2025-05-24;"6;987.84 SEK";Switzerland
Oscar Johnson;oscarjohnson@outlook com;(+46)156915452;250 Park Ave;Stockholm;03/27/24;"5;893.61 €";Sweden
Nils Andersson;nils.andersson@outlook.com;+1-52571509;120 Highway;New York;06/29/21;"4;290;69";USA
Nils Jones;jones_nils@hotmail.com;+27 973-27021;241 Park Ave;johannesburg ;16/03/2021;"5;297;80 EUR";South Africa
Liam Johansson;liam-johansson@gmail.com;+46 649-6935;154 King St;Stockholm;"Dec 30; 2022";"4;814.78";Sweden
Ava Pettersson;AVA.PETTERSSON@COMPANY.CO;8993588 +55;128 Elm Street;Rio de Janeiro;" Dec 05; 2023 ";"6;437.55 €";Brazil
Sophia Gustafsson;sophia-gustafsson@gmail.com;+468466845;271 Highway;Göteborg;"Nov 06; 2023";6 523.85;Sweden
Elin Smith;smith_elin@yahoo.com;(+46)93352904;90 Main St;GÖTEBORG;19/11/2020;"1;276.32";Sweden
Oscar Johansson;johansson_oscar@yahoo.com;+55-9356465193;282 Main St;Rio de Janeiro; 06.06.2022 ;"8;479.40";Brazil
Isabella Larsson;isabella-larsson@yahoo..com;+55964016582;225 Main St;sao paulo;2023-12-23;"6;793.83 USD";Brazil
Leo Svensson;svensson_leo@company..co;(+81)72318432;61 Park Ave;Osaka;25-Jun-23;"1;620;85";Japan
Oscar Persson;oscarpersson@company.co;+46-711305548;85 Elm Street;göteborg;22/03/2024;"9;302.86 EUR";Sweden
Alma Andersson;alma-andersson@company.co;+6627104054;193 Baker St;"Chiang Mai;";27-Mar-24;"4;318;92 €";Thailand
Klara Olsson;klaraolsson@outlook..com;+66852008943;57 Park Ave;bangkok;23.01.2021;"4;492.88 SEK";Thailand
Leo Nilsson;LEONILSSON@OUTLOOK.COM;61371504 +27;192 Highway;Cape Town.;15.06.2025;"SEK 4;546;01";South Africa
Liam Persson;persson_liam@bizmail.net;219933083 +55;170 Park Ave;Sao  Paulo;06-Sep-21;"EUR 8;807;67";Brazil
Sophia Smith;sophiasmith@yahoo.com;+81 257775478;144 King St;Tokyo;2024-04-23;"$ 8;922.13";Japan
Sophia Williams;williams_sophia@bizmail..net;4329271296 +55;245 Elm Street;rio de janeiro;"Aug 08; 2022";"€ 6;770.71";Brazil
Ava Jones;ava.jones@outlook.com;+49-69731121;220 Oak Road;Berlin;"Mar 01; 2024";"2;856.36";Germany
Sophia Larsson;sophia.larsson@hotmail.com;+49 19314919;190 Main St;Munich;22-May-21;"6;359;50 EUR";Germany
Emma Nilsson;emmanilsson@bizmail..net;+39 690705626;132 Main St;ROME;2022-03-25;"$ 9;522.13";Italy
Ethan Eriksson;eriksson_ethan@yahoo.com;+55 1586938;215 Highway;Sao Paulo;2022-06-22;"SEK 8;540.86";Brazil
Isabella Karlsson;isabellakarlsson@company.co;+39-1302056;95 Park Ave;Rome;18/06/2025;"USD 4;742.59";Italy
Ella Brown;ella.brown@company.co;+33950050702;269 Baker St;LYON ;05-Jun-21;"4;156.62";France
Erik Andersson;erik-andersson@outlook.com;+49-9329981;12 Oak Road;Munich;2022-11-15;"SEK 8;836.29";Germany
