sep=;
"Name";"Email";"Phone";"Address";"City";"Registration Date";"Total Spent";"Country"
"Lucas Larsson";"larsson_lucas@hotmail.com";"(+49) 1576764";"261 Main St";"Munich";"2023-05-04";"1775.46";"Germany"
"Klara Johansson";"klarajohansson@outlook.com";"(+66) 4546553585";"127 King St";"Chiang Mai";"2023-08-23";"3141.71 EUR";"Thailand"
"Sophia Karlsson";"sophia-karlsson@yahoo.com";"(+39) 3128403";"245 Elm Street";"Milan";"2021-06-13";"1981.99";"Italy"
"Ava Brown";"ava-brown@company.co";"(+66) 8509608";"295 Oak Road";"Chiang Mai";"2025-03-04";"7987.92 USD";"Thailand"
"Alma Brown";"alma-brown@bizmail.net";"(+33) 5676670806";"155 King St";"Paris";"2025-09-19";"nan EUR";"France"
"Sophia Williams";"williams_sophia@outlook.com";"(+1) 6016621";"229 Highway";"Los Angeles";"2025-05-02";"nan";"USA"
"Sophia Svensson";"sophiasvensson@gmail.com";"(+66) 17342069";"189 Baker St";"Bangkok";"2023-05-05";"2252.59 EUR";"Thailand"
"Erik Brown";"brown_erik@bizmail.net";"(+55) 29456255";"58 Oak Road";"Sao Paulo";"2024-07-01";"4062.80 USD";"Brazil"
"Hugo Williams";"hugo.williams@bizmail.net";"(+49) 9562017537";"144 Park Ave";"Berlin";"2025-04-30";"9801.39 USD";"Germany"
"Lucas Nilsson";"lucas-nilsson@gmail.com";"(+33) 72450184";"242 Baker St";"Paris";"2021-08-28";"7544.96";"France"
"Klara Pettersson";"klarapettersson@hotmail.com";"(+33) 5009788";"96 Main St";"Paris";"2025-10-15";"5949.25 SEK";"France"
"Elin Karlsson";"karlsson_elin@gmail.com";"(+81) 2634755752";"298 Oak Road";"Tokyo";"2023-10-25";"6959.40";"Japan"
"Isabella Eriksson";"isabellaeriksson@company.co";"(+33) 833394522";"60 King St";"Paris";"2023-02-19";"8415.48";"France"
"Sophia Smith";"sophia.smith@outlook.com";"(+27) 5349678";"57 Park Ave";"Johannesburg";"2022-04-09";"9930.84";"South Africa"
"Ava Nilsson";"avanilsson@gmail.com";"(+39) 6918362644";"196 Highway";"Milan";"2021-04-18";"7769.14 USD";"Italy"
"Isabella Karlsson";"isabella-karlsson@company.co";"(+49) 023290282";"32 Highway";"Berlin";"2023-02-14";"1754.63 EUR";"Germany"
"Nils Karlsson";"karlsson_nils@yahoo.com";"(+49) 7026728849";"129 Highway";"Munich";"2023-06-20";"7448.49 USD";"Germany"
"Erik Olsson";"olsson_erik@outlook.com";"(+27) 7303379";"170 King St";"Cape Town";"2022-10-31";"309.88 USD";"South Africa"
"Oscar Svensson";"oscarsvensson@bizmail.net";"(+1) 2871539";"196 Park Ave";"New York";"2022-01-18";"885.93 USD";"USA"
"Alma Karlsson";"alma-karlsson@company.co";"(+33) 603248433";"112 Elm Street";"Lyon";"2023-08-17";"1656.74";"France"
"Alma Nilsson";"nilsson_alma@company.co";"(+39) 555746966";"210 Oak Road";"Milan";"2025-05-21";"nan USD";"Italy"
"Hugo Andersson";"andersson_hugo@outlook.com";"(+46) 3878294565";"23 King St";"Stockholm";"2021-05-08";"8364.63 SEK";"Sweden"
"Noah Karlsson";"noah.karlsson@outlook.com";"(+1) 0514054";"201 Park Ave";"New York";"2024-12-14";"8076.87 USD";"USA"
"Klara Jones";"klara.jones@hotmail.com";"(+1) 85691463";"60 Elm Street";"New York";"2021-10-12";"1380.75 USD";"USA"
"Ethan Olsson";"ethan.olsson@gmail.com";"(+41) 4132834831";"19 Baker St";"Geneva";"2023-08-05";"5886.52";"Switzerland"
"Isabella Andersson";"andersson_isabella@outlook.com";"(+33) 70589578";"159 Elm Street";"Lyon";"2025-05-31";"9724.07 USD";"France"
"Emma Johansson";"emmajohansson@yahoo.com";"(+1) 6226838851";"10 Elm Street";"Los Angeles";"2024-10-10";"1160.58";"USA"
"Klara Johansson";"klara-johansson@yahoo.com";"(+66) 5654527";"222 Main St";"Chiang Mai";"2023-12-12";"nan EUR";"Thailand"
"Alma Pettersson";"pettersson_alma@outlook.com";"(+81) 754858193281";"224 Highway";"Tokyo";"2023-03-28";"262.70 EUR";"Japan"
"Astrid Gustafsson";"astrid.gustafsson@yahoo.com";"(+46) 7079334960";"222 Elm Street";"Stockholm";"2022-06-05";"4866.15 SEK";"Sweden"
"Emma Williams";"emma.williams@bizmail.net";"(+39) 78742967";"165 Park Ave";"Milan";"2024-07-05";"5505.47 EUR";"Italy"
"Leo Olsson";"leoolsson@hotmail.com";"(+81) 1584156082";"57 Main St";"Tokyo";"2023-03-30";"838.84 SEK";"Japan"
"Klara Svensson";"svensson_klara@yahoo.com";"(+66) 8788443";"88 Baker St";"Bangkok";"2022-09-05";"nan EUR";"Thailand"
"Ella Larsson";"ella-larsson@gmail.com";"(+1) 4432701";"214 Elm Street";"Los Angeles";"2023-06-18";"1336.77 SEK";"USA"
"Isabella Persson";"persson_isabella@yahoo.com";"(+46) 923226025646";"137 Baker St";"Göteborg";"2022-01-16";"nan";"Sweden"
"Klara Olsson";"klara-olsson@company.co";"(+1) 7175355609";"284 Highway";"Los Angeles";"2022-12-04";"4998.02 USD";"USA"
"Ava Karlsson";"karlsson_ava@company.co";"(+55) 821759464";"197 King St";"Sao Paulo";"2024-09-19";"8302.08";"Brazil"
"Mia Nilsson";"mia-nilsson@hotmail.com";"(+55) 5867342";"158 Main St";"Sao Paulo";"2021-06-02";"6719.27 USD";"Brazil"
"Hugo Gustafsson";"gustafsson_hugo@yahoo.com";"(+39) 8610313100";"52 Oak Road";"Rome";"2021-05-13";"nan";"Italy"
"Mia Johnson";"johnson_mia@outlook.com";"(+41) 56394278";"6 Park Ave";"Geneva";"2025-01-15";"1600.63 SEK";"Switzerland"
"Lucas Andersson";"lucasandersson@bizmail.net";"(+49) 0401041";"195 Oak Road";"Berlin";"2022-02-08";"nan EUR";"Germany"
"Noah Brown";"noah.brown@company.co";"(+27) 695489952";"255 Elm Street";"Cape Town";"2021-11-18";"4654.21 EUR";"South Africa"
"Erik Jones";"erik.jones@outlook.com";"(+81) 5807412094";"44 Baker St";"Tokyo";"2023-09-21";"5031.36 USD";"Japan"
"Liam Persson";"liam-persson@outlook.com";"(+27) 5890429";"70 Oak Road";"Cape Town";"2022-10-17";"5300.83";"South Africa"
"Ethan Persson";"ethan-persson@gmail.com";"(+46) 45587716";"75 King St";"Stockholm";"2024-01-01";"722.73";"Sweden"
"Nils Pettersson";"";"(+55) 158331170";"198 Baker St";"Rio de Janeiro";"2023-09-05";"nan EUR";"Brazil"
"Elin Olsson";"";"(+55) 52373605";"51 King St";"Sao Paulo";"2024-08-01";"3947.91 SEK";"Brazil"
"Liam Pettersson";"liampettersson@hotmail.com";"(+81) 6317797177";"10 Main St";"Tokyo";"2025-03-27";"6379.01";"Japan"
"Liam Pettersson";"pettersson_liam@outlook.com";"(+66) 339740166";"289 Park Ave";"Chiang Mai";"2024-02-02";"nan EUR";"Thailand"
"Nils Persson";"persson_nils@yahoo.com";"(+81) 4268181";"263 Oak Road";"Osaka";"2022-11-29";"2440.30 EUR";"Japan"
"Nils Brown";"nils.brown@hotmail.com";"(+49) 679970246";"206 Main St";"Munich";"2022-04-21";"8175.69 USD";"Germany"
"Hugo Jones";"hugojones@bizmail.net";"(+55) 7272239";"145 Main St";"Sao Paulo";"2021-11-06";"4269.69";"Brazil"
"Leo Williams";"leowilliams@hotmail.com";"(+33) 4461767933";"260 King St";"Lyon";"2024-01-20";"8300.56";"France"
"Isabella Smith";"smith_isabella@gmail.com";"(+33) 9358895";"77 Elm Street";"Lyon";"2022-01-20";"5748.65 EUR";"France"
"Sophia Olsson";"sophia-olsson@outlook.com";"(+81) 21667467681";"68 Park Ave";"Osaka";"2024-02-09";"6787.15 EUR";"Japan"
"Ella Johnson";"ella-johnson@hotmail.com";"(+49) 832538149";"298 King St";"Munich";"2022-10-10";"4235.06 USD";"Germany"
"Ethan Johansson";"ethanjohansson@bizmail.net";"(+49) 8141413975";"52 Oak Road";"Munich";"2024-02-04";"5845.86 SEK";"Germany"
"Alma Andersson";"alma-andersson@gmail.com";"(+33) 18751097";"287 Baker St";"Paris";"2025-08-30";"3064.45 SEK";"France"
"Isabella Pettersson";"isabella-pettersson@gmail.com";"(+66) 80657875";"93 Main St";"Chiang Mai";"2021-02-14";"7670.75";"Thailand"
"Noah Gustafsson";"gustafsson_noah@company.co";"(+1) 68499515";"250 Elm Street";"Los Angeles";"2024-03-12";"6667.67";"USA"
"Olivia Andersson";"andersson_olivia@hotmail.com";"(+41) 189520284";"84 Main St";"Geneva";"2023-12-06";"9525.43 SEK";"Switzerland"
"Liam Pettersson";"pettersson_liam@company.co";"(+46) 5676618251";"66 Park Ave";"Göteborg";"2023-05-24";"4247.04";"Sweden"
"Liam Jones";"liamjones@company.co";"(+27) 2395041027";"273 Baker St";"Johannesburg";"2025-09-04";"9272.95 EUR";"South Africa"
"Klara Brown";"klarabrown@outlook.com";"(+55) 791452118";"128 Main St";"Sao Paulo";"2023-12-22";"4939.24 USD";"Brazil"
"Liam Persson";"liam.persson@company.co";"(+49) 405153195";"90 King St";"Berlin";"2025-06-05";"7764.14 EUR";"Germany"
"Sophia Svensson";"";"(+1) 85138544571";"300 Baker St";"New York";"2025-01-03";"nan EUR";"USA"
"Ethan Larsson";"larsson_ethan@bizmail.net";"(+27) 3721386";"27 Baker St";"Cape Town";"2023-06-10";"650.16";"South Africa"
"Klara Andersson";"klara-andersson@outlook.com";"(+33) 42253584";"283 Oak Road";"Paris";"2021-09-28";"1550.40 SEK";"France"
"Mia Johansson";"";"(+66) 2050614973";"150 Main St";"Chiang Mai";"2024-07-02";"5445.82 EUR";"Thailand"
"Noah Williams";"noah.williams@gmail.com";"(+1) 25012495";"124 Highway";"Los Angeles";"2024-10-22";"nan USD";"USA"
"Elin Eriksson";"elineriksson@yahoo.com";"(+81) 1896164";"205 Main St";"Tokyo";"2024-04-06";"2992.48 USD";"Japan"
"Hugo Brown";"hugo-brown@yahoo.com";"(+27) 6769915078";"7 Highway";"Johannesburg";"2021-03-07";"nan EUR";"South Africa"
"Astrid Karlsson";"astrid-karlsson@yahoo.com";"(+27) 8996986091";"51 Highway";"Cape Town";"2024-10-09";"3943.51 USD";"South Africa"
"Leo Johnson";"leo-johnson@bizmail.net";"(+27) 353537513";"186 Main St";"Johannesburg";"2024-10-03";"4194.31 EUR";"South Africa"
"Mia Brown";"";"(+46) 1190790346";"277 Baker St";"Göteborg";"2024-11-24";"5983.20 USD";"Sweden"
"Astrid Olsson";"astrid-olsson@hotmail.com";"(+49) 79103368";"108 Baker St";"Munich";"2023-08-12";"6492.63 EUR";"Germany"
"Hugo Olsson";"hugo.olsson@gmail.com";"(+55) 2278469";"163 Oak Road";"Rio de Janeiro";"2023-03-27";"3449.20";"Brazil"
"Sophia Johnson";"sophia-johnson@gmail.com";"(+27) 334817058";"211 Elm Street";"Johannesburg";"2021-03-07";"8658.34 EUR";"South Africa"
"Ella Svensson";"svensson_ella@bizmail.net";"(+55) 6923645";"189 Park Ave";"Rio de Janeiro";"2023-06-23";"3620.53 USD";"Brazil"
"Noah Johansson";"noah.johansson@bizmail.net";"(+55) 6470900";"192 Baker St";"Sao Paulo";"2021-11-15";"nan EUR";"Brazil"
"Emma Karlsson";"emma.karlsson@outlook.com";"(+1) 97585988";"23 Baker St";"Los Angeles";"2021-07-19";"5921.91 EUR";"USA"
"Hugo Smith";"hugo.smith@company.co";"(+1) 8595922481";"191 Highway";"Los Angeles";"2024-12-25";"9279.14 SEK";"USA"
"Oscar Larsson";"oscar-larsson@gmail.com";"(+66) 6139449";"26 Oak Road";"Chiang Mai";"2024-08-28";"6717.68";"Thailand"
"Olivia Olsson";"olivia.olsson@yahoo.com";"(+55) 038457655";"181 Oak Road";"Rio de Janeiro";"2025-05-07";"8787.99 USD";"Brazil"
"Emma Gustafsson";"emma-gustafsson@bizmail.net";"(+49) 0469472587";"136 King St";"Munich";"2024-04-21";"7568.56";"Germany"
"Noah Eriksson";"";"(+49) 7889255466";"172 Main St";"Munich";"2025-07-28";"6030.98";"Germany"
"Elin Larsson";"larsson_elin@bizmail.net";"(+66) 90458867";"80 Highway";"Bangkok";"2023-08-07";"nan EUR";"Thailand"
"Erik Johnson";"";"(+81) 4985172";"254 Baker St";"Osaka";"2022-02-06";"1850.71 EUR";"Japan"
"Lucas Nilsson";"nilsson_lucas@bizmail.net";"(+39) 04699013";"246 Baker St";"Rome";"2024-12-14";"7545.76 SEK";"Italy"
"Ethan Andersson";"ethan-andersson@gmail.com";"(+46) 16516231946";"298 King St";"Göteborg";"2021-06-25";"5847.42 EUR";"Sweden"
"Oscar Nilsson";"nilsson_oscar@yahoo.com";"(+39) 5107991183";"36 Baker St";"Rome";"2024-03-23";"nan USD";"Italy"
"Olivia Persson";"olivia-persson@outlook.com";"(+81) 2513412";"215 Highway";"Osaka";"2024-07-09";"nan EUR";"Japan"
"Oscar Larsson";"oscar.larsson@bizmail.net";"(+46) 262067246";"20 Main St";"Göteborg";"2023-06-05";"4944.19 EUR";"Sweden"
"Erik Svensson";"erik-svensson@yahoo.com";"(+81) 5777118381";"143 King St";"Tokyo";"2021-06-29";"1692.85";"Japan"
"Elin Karlsson";"karlsson_elin@company.co";"(+46) 08588770446";"50 Baker St";"Göteborg";"2021-12-23";"2139.62";"Sweden"
"Ethan Gustafsson";"ethan.gustafsson@yahoo.com";"(+39) 4973502080";"65 Park Ave";"Rome";"2022-09-18";"7996.63 EUR";"Italy"
"Nils Larsson";"nilslarsson@company.co";"(+27) 83206038";"5 Oak Road";"Johannesburg";"2021-05-18";"2389.29";"South Africa"
"Ethan Jones";"ethan-jones@hotmail.com";"(+81) 6032020";"293 Elm Street";"Tokyo";"2024-01-13";"2156.21 USD";"Japan"
"Nils Gustafsson";"nils-gustafsson@bizmail.net";"(+33) 3128196482";"224 Main St";"Paris";"2021-03-28";"7425.97 EUR";"France"
"Isabella Johansson";"isabella-johansson@yahoo.com";"(+33) 524508640333";"277 Main St";"Paris";"2024-10-30";"3821.04 USD";"France"
"Olivia Eriksson";"oliviaeriksson@company.co";"(+1) 145933272";"213 Park Ave";"Los Angeles";"2022-08-01";"5962.19 USD";"USA"
"Leo Gustafsson";"";"(+33) 982824674";"247 Main St";"Paris";"2020-10-26";"7306.38 USD";"France"
"Lucas Karlsson";"lucaskarlsson@outlook.com";"(+1) 4041209117";"135 Baker St";"Los Angeles";"2022-12-27";"229.35 EUR";"USA"
"Isabella Eriksson";"";"(+66) 542356778266";"293 Elm Street";"Chiang Mai";"2024-06-11";"1454.73";"Thailand"
"Alma Johansson";"alma-johansson@bizmail.net";"(+46) 13305319446";"216 Park Ave";"Stockholm";"2022-09-20";"8228.06 EUR";"Sweden"
"Noah Olsson";"noah-olsson@outlook.com";"(+1) 505415667";"255 Oak Road";"Los Angeles";"2021-03-28";"nan SEK";"USA"
"Ethan Andersson";"ethanandersson@bizmail.net";"(+81) 564814981";"185 Main St";"Osaka";"2021-05-16";"1162.18";"Japan"
"Klara Pettersson";"";"(+39) 9721811";"152 Oak Road";"Rome";"2022-10-25";"7388.02";"Italy"
"Emma Pettersson";"pettersson_emma@gmail.com";"(+49) 56588043";"176 Main St";"Munich";"2024-01-05";"nan EUR";"Germany"
"Oscar Johansson";"johansson_oscar@hotmail.com";"(+55) 4170805310";"11 Highway";"Sao Paulo";"2022-01-07";"7671.31 SEK";"Brazil"
"Ava Nilsson";"ava-nilsson@yahoo.com";"(+1) 7768634231";"202 Main St";"New York";"2024-11-04";"4467.12 SEK";"USA"
"Ethan Gustafsson";"ethan-gustafsson@bizmail.net";"(+33) 4870494787";"135 Oak Road";"Lyon";"2022-05-30";"9068.86";"France"
"Noah Larsson";"noahlarsson@hotmail.com";"(+66) 0339937";"59 Oak Road";"Bangkok";"2023-01-30";"8862.70 SEK";"Thailand"
"Ava Johnson";"avajohnson@hotmail.com";"(+46) 204380571";"115 Park Ave";"Göteborg";"2024-09-12";"479.33 EUR";"Sweden"
"Ella Olsson";"ella.olsson@bizmail.net";"(+81) 9038021";"38 Baker St";"Osaka";"2023-10-18";"nan USD";"Japan"
"Astrid Johnson";"astrid.johnson@yahoo.com";"(+27) 6117240";"184 Oak Road";"Johannesburg";"2021-10-21";"6098.82 SEK";"South Africa"
"Leo Jones";"jones_leo@company.co";"(+81) 4064930853";"128 Baker St";"Osaka";"2021-03-29";"5170.93 SEK";"Japan"
"Leo Pettersson";"leopettersson@company.co";"(+81) 6383615171";"148 Highway";"Osaka";"2023-05-11";"6873.60 EUR";"Japan"
"Elin Olsson";"elin-olsson@outlook.com";"(+55) 4348734714";"277 Main St";"Sao Paulo";"2021-02-26";"5430.69";"Brazil"
"Noah Pettersson";"";"(+81) 3536541951";"115 King St";"Osaka";"2025-08-26";"nan USD";"Japan"
"Olivia Nilsson";"olivia-nilsson@bizmail.net";"(+27) 052330276427";"12 Highway";"Cape Town";"2022-12-28";"7270.28 EUR";"South Africa"
"Elin Williams";"elin-williams@company.co";"(+81) 4932898027";"281 King St";"Osaka";"2023-10-30";"1712.63 USD";"Japan"
"Ethan Olsson";"ethan.olsson@outlook.com";"(+81) 0771199";"54 Baker St";"Osaka";"2022-08-06";"5063.91 EUR";"Japan"
"Leo Persson";"leo-persson@yahoo.com";"(+55) 7496903337";"194 Highway";"Rio de Janeiro";"2022-06-14";"2309.47 EUR";"Brazil"
"Hugo Larsson";"hugolarsson@company.co";"(+46) 4622522372";"109 Baker St";"Stockholm";"2025-09-07";"9130.58";"Sweden"
"Liam Olsson";"olsson_liam@hotmail.com";"(+33) 5061853";"19 Park Ave";"Lyon";"2022-11-01";"4706.45 EUR";"France"
"Emma Karlsson";"karlsson_emma@bizmail.net";"(+1) 5743748969";"192 Highway";"New York";"2021-02-25";"6409.54 USD";"USA"
"Oscar Pettersson";"";"(+33) 096105566";"6 Park Ave";"Lyon";"2023-12-18";"6980.71 USD";"France"
"Ava Jones";"avajones@gmail.com";"(+41) 7848728299";"289 Elm Street";"Zurich";"2023-10-28";"442418.00 USD";"Switzerland"
"Astrid Eriksson";"eriksson_astrid@yahoo.com";"(+33) 801006233";"5 Baker St";"Lyon";"2024-04-02";"167.16 SEK";"France"
"Alma Williams";"alma-williams@outlook.com";"(+66) 1845146";"135 Highway";"Bangkok";"2024-05-18";"1536.86 SEK";"Thailand"
"Klara Olsson";"olsson_klara@bizmail.net";"(+41) 973348434";"251 Oak Road";"Geneva";"2022-05-30";"5436.48";"Switzerland"
"Alma Johansson";"johansson_alma@hotmail.com";"(+27) 8496498";"166 Elm Street";"Cape Town";"2021-08-11";"3192.71";"South Africa"
"Sophia Williams";"sophia.williams@company.co";"(+1) 639855474";"108 Elm Street";"Los Angeles";"2020-10-22";"9015.44 EUR";"USA"
"Emma Williams";"williams_emma@bizmail.net";"(+46) 7844736";"81 Elm Street";"Göteborg";"2025-08-17";"9880.35";"Sweden"
"Ella Nilsson";"";"(+46) 959310341";"233 Park Ave";"Göteborg";"2024-09-24";"6095.22 SEK";"Sweden"
"Ethan Pettersson";"ethan-pettersson@bizmail.net";"(+55) 4737996";"94 Elm Street";"Sao Paulo";"2024-09-23";"5171.11";"Brazil"
"Liam Andersson";"liam.andersson@company.co";"(+66) 1898131292";"63 Main St";"Bangkok";"2025-07-27";"nan USD";"Thailand"
"Hugo Nilsson";"nilsson_hugo@outlook.com";"(+33) 991537038";"254 Baker St";"Paris";"2024-05-06";"2974.96 USD";"France"
"Emma Larsson";"emmalarsson@yahoo.com";"(+39) 775847457";"171 Highway";"Milan";"2021-06-05";"7284.87 USD";"Italy"
"Astrid Karlsson";"astridkarlsson@company.co";"(+55) 1465840455";"251 King St";"Sao Paulo";"2023-11-04";"3224.56 EUR";"Brazil"
"Erik Johnson";"erik.johnson@outlook.com";"(+49) 1379956";"118 King St";"Munich";"2021-12-01";"744.56";"Germany"
"Liam Smith";"smith_liam@yahoo.com";"(+55) 772625755";"37 Elm Street";"Rio de Janeiro";"2024-09-16";"7946.84 USD";"Brazil"
"Olivia Larsson";"olivialarsson@hotmail.com";"(+49) 3750606";"42 Oak Road";"Berlin";"2025-03-26";"2875.93 EUR";"Germany"
"Lucas Williams";"lucas-williams@hotmail.com";"(+1) 8063565";"130 Oak Road";"Los Angeles";"2024-08-11";"4138.15";"USA"
"Erik Gustafsson";"gustafsson_erik@company.co";"(+66) 4151488866";"117 Main St";"Chiang Mai";"2024-07-31";"7454.66 EUR";"Thailand"
"Astrid Williams";"astrid.williams@bizmail.net";"(+39) 98338167";"218 Baker St";"Rome";"2021-12-04";"nan USD";"Italy"
"Ethan Nilsson";"ethannilsson@company.co";"(+66) 83143598";"162 King St";"Bangkok";"2023-10-11";"4073.74 USD";"Thailand"
"Klara Karlsson";"karlsson_klara@outlook.com";"(+55) 1208780572";"142 Highway";"Sao Paulo";"2024-09-29";"2159.89 USD";"Brazil"
"Hugo Jones";"hugo-jones@outlook.com";"(+49) 63926495";"71 Highway";"Berlin";"2024-10-01";"4306.34";"Germany"
"Hugo Olsson";"hugoolsson@bizmail.net";"(+66) 1631599";"16 Park Ave";"Bangkok";"2022-11-25";"5862.89 USD";"Thailand"
"Nils Jones";"nilsjones@yahoo.com";"(+39) 285155339";"218 Oak Road";"Rome";"2021-06-27";"8676.65";"Italy"
"Mia Eriksson";"eriksson_mia@hotmail.com";"(+49) 117518649";"82 Elm Street";"Berlin";"2025-06-09";"nan EUR";"Germany"
"Oscar Andersson";"andersson_oscar@hotmail.com";"(+49) 2463351";"132 Main St";"Munich";"2021-01-05";"9851.44 USD";"Germany"
"Ava Karlsson";"ava.karlsson@gmail.com";"(+1) 1284971";"145 Highway";"New York";"2022-12-24";"7415.56 SEK";"USA"
"Ella Karlsson";"ella.karlsson@gmail.com";"(+27) 7058650";"37 King St";"Johannesburg";"2022-02-03";"1939.26 SEK";"South Africa"
"Erik Nilsson";"erik-nilsson@outlook.com";"(+41) 2324665136";"132 Park Ave";"Geneva";"2023-05-26";"4366.97";"Switzerland"
"Mia Jones";"mia.jones@outlook.com";"(+66) 335670860";"180 Park Ave";"Chiang Mai";"2024-12-21";"nan SEK";"Thailand"
"Ella Larsson";"ella.larsson@company.co";"(+49) 982474140";"64 Main St";"Munich";"2021-01-28";"8788.43";"Germany"
"Lucas Johnson";"johnson_lucas@gmail.com";"(+1) 9351187";"167 Highway";"New York";"2025-09-15";"3272.14 USD";"USA"
"Leo Karlsson";"karlsson_leo@hotmail.com";"(+66) 6870568566";"193 Baker St";"Chiang Mai";"2024-06-10";"9148.26 SEK";"Thailand"
"Ella Gustafsson";"gustafsson_ella@yahoo.com";"(+55) 89608706";"219 Highway";"Rio de Janeiro";"2022-11-10";"437088.00";"Brazil"
"Klara Olsson";"";"(+41) 973348434";"251 Oak Road";"Geneva";"2022-05-30";"5436.48";"Switzerland"
"Klara Eriksson";"klara-eriksson@yahoo.com";"(+66) 1539669583";"294 King St";"Bangkok";"2025-05-28";"9559.28";"Thailand"
"Alma Eriksson";"alma-eriksson@bizmail.net";"(+39) 937966039";"33 Highway";"Milan";"2023-05-13";"8627.74 USD";"Italy"
"Mia Svensson";"mia.svensson@yahoo.com";"(+27) 7756620";"56 Main St";"Johannesburg";"2021-09-16";"2126.98";"South Africa"
"Elin Johansson";"johansson_elin@yahoo.com";"(+66) 830945154";"18 Park Ave";"Bangkok";"2022-02-05";"5726.09 EUR";"Thailand"
"Oscar Johnson";"";"(+27) 832818268";"110 Park Ave";"Johannesburg";"2023-10-09";"8238.65 USD";"South Africa"
"Leo Olsson";"leoolsson@hotmail.com";"(+66) 032032074266";"254 Main St";"Chiang Mai";"2021-05-06";"nan USD";"Thailand"
"Liam Karlsson";"";"(+1) 242956334";"226 Oak Road";"Los Angeles";"2023-09-24";"6873.53 USD";"USA"
"Sophia Gustafsson";"";"(+33) 2268171516";"260 Elm Street";"Paris";"2023-03-02";"2593.90 USD";"France"
"Noah Larsson";"noah-larsson@outlook.com";"(+49) 1799313";"206 Oak Road";"Munich";"2025-03-30";"5934.92";"Germany"
"Mia Williams";"miawilliams@gmail.com";"(+27) 2896599";"243 Baker St";"Cape Town";"2021-08-14";"nan";"South Africa"
"Mia Svensson";"mia.svensson@gmail.com";"(+27) 2317955";"260 Oak Road";"Cape Town";"2025-04-20";"8576.36 USD";"South Africa"
"Elin Jones";"elin-jones@yahoo.com";"(+49) 20616329";"35 Main St";"Munich";"2023-05-14";"6234.35";"Germany"
"Ella Svensson";"ella-svensson@gmail.com";"(+33) 3691559";"138 Elm Street";"Lyon";"2023-02-23";"nan EUR";"France"
"Noah Johansson";"noah.johansson@bizmail.net";"(+27) 9212447174";"166 Oak Road";"Johannesburg";"2022-08-30";"8129.88";"South Africa"
"Klara Johnson";"";"(+39) 95590599";"253 Highway";"Milan";"2020-11-27";"3324.02";"Italy"
"Nils Olsson";"nilsolsson@company.co";"(+81) 905814770";"47 Highway";"Tokyo";"2024-12-09";"8100.06 USD";"Japan"
"Isabella Gustafsson";"gustafsson_isabella@yahoo.com";"(+55) 156277963";"210 Main St";"Sao Paulo";"2025-05-01";"2614.39 USD";"Brazil"
"Ethan Karlsson";"ethan.karlsson@yahoo.com";"(+81) 3953767";"288 Highway";"Tokyo";"2022-10-01";"918.19";"Japan"
"Isabella Larsson";"isabella.larsson@yahoo.com";"(+46) 325122572";"11 Baker St";"Stockholm";"2020-11-06";"4743.56";"Sweden"
"Lucas Williams";"williams_lucas@outlook.com";"(+66) 9665533";"141 Elm Street";"Bangkok";"2022-02-14";"188.18 SEK";"Thailand"
"Ethan Larsson";"ethan-larsson@yahoo.com";"(+46) 98454615";"116 Oak Road";"Stockholm";"2025-01-20";"3798.85";"Sweden"
"Ella Brown";"ellabrown@company.co";"(+41) 413432756";"252 Elm Street";"Geneva";"2025-05-24";"6987.84 SEK";"Switzerland"
"Oscar Johnson";"";"(+46) 156915452";"250 Park Ave";"Stockholm";"2024-03-27";"5893.61 EUR";"Sweden"
"Nils Andersson";"nils.andersson@outlook.com";"(+1) 52571509";"120 Highway";"New York";"2021-06-29";"nan";"USA"
"Nils Jones";"jones_nils@hotmail.com";"(+27) 97327021";"241 Park Ave";"Johannesburg";"2021-03-16";"nan EUR";"South Africa"
"Liam Johansson";"liam-johansson@gmail.com";"(+46) 6496935";"154 King St";"Stockholm";"2022-12-30";"4814.78";"Sweden"
"Ava Pettersson";"ava.pettersson@company.co";"(+55) 899358855";"128 Elm Street";"Rio de Janeiro";"2023-12-05";"6437.55 EUR";"Brazil"
"Sophia Gustafsson";"sophia-gustafsson@gmail.com";"(+46) 8466845";"271 Highway";"Göteborg";"2023-11-06";"6523.85";"Sweden"
"Elin Smith";"smith_elin@yahoo.com";"(+46) 93352904";"90 Main St";"Göteborg";"2020-11-19";"1276.32";"Sweden"
"Oscar Johansson";"johansson_oscar@yahoo.com";"(+55) 9356465193";"282 Main St";"Rio de Janeiro";"2022-06-06";"8479.40";"Brazil"
"Isabella Larsson";"";"(+55) 964016582";"225 Main St";"Sao Paulo";"2023-12-23";"6793.83 USD";"Brazil"
"Oscar Persson";"oscarpersson@company.co";"(+46) 711305548";"85 Elm Street";"Göteborg";"2024-03-22";"9302.86 EUR";"Sweden"
"Alma Andersson";"alma-andersson@company.co";"(+66) 27104054";"193 Baker St";"Chiang Mai";"2024-03-27";"nan EUR";"Thailand"
"Klara Olsson";"";"(+66) 852008943";"57 Park Ave";"Bangkok";"2021-01-23";"4492.88 SEK";"Thailand"
"Leo Nilsson";"leonilsson@outlook.com";"(+27) 6137150427";"192 Highway";"Cape Town";"2025-06-15";"nan SEK";"South Africa"
"Liam Persson";"persson_liam@bizmail.net";"(+55) 21993308355";"170 Park Ave";"Sao Paulo";"2021-09-06";"nan EUR";"Brazil"
